Key (ST_Code),ST Code / Abbr,Product Code,Product Name,Category,Loai Hang,KFM Qty (SL Chuyen),ABA Qty (SL Giao),Diff (Lech)
NVD_8938503131971,NVD,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,10,32,-22
KHI_8938503131971,KHI,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,1,2,-1
AV4_8938503131971,AV4,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,1,2,-1
AKR_8938503131971,AKR,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,8,14,-6
A150_8938503131971,A150,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,1,2,-1
NDT_8938503131971,NDT,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,1,2,-1
A181_8938503131971,A181,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,1,2,-1
A164_8938503131971,A164,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,0,1,-1
VGP_8938503131971,VGP,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,0,14,-14
VH3_8938503131971,VH3,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,0,1,-1
SFR_8938503131971,SFR,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,0,8,-8
A187_8938503131971,A187,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,0,1,-1
IAP_8938503131971,IAP,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,0,22,-22
A137_8938503131971,A137,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,0,1,-1
DS3_8938503131971,DS3,"=""8938503131971""",ĐÀ LẠT MILK - SỮA CHUA VỊ TỰ NHIÊN 500G,Meat,Fix weight,0,6,-6
A117_8935304205849,A117,"=""8935304205849""",O'FOOD - BÁNH GẠO CHẢ CÁ 340G,Meat,Fix weight,0,2,-2
A117_8935217420414,A117,"=""8935217420414""",TH TRUE MILK - PHÔ MAI TƯƠI MOZZARELLA GÓI 4X25G,Meat,Fix weight,0,4,-4
A117_8850329344352,A117,"=""8850329344352""",MEIJI - SỮA CHUA ÍT BÉO VỊ TỰ NHIÊN KHÔNG ĐƯỜNG 500G,Meat,Fix weight,0,2,-2
A117_11742,A117,"=""11742""",MÍA TƯƠI CẮT KHÚC 500G,Meat,Fix weight,0,3,-3
A117_11244,A117,"=""11244""",CÓC CẮT SẴN 400G,Meat,Fix weight,0,1,-1
A117_SP001575,A117,"=""SP001575""",BBANG HOUSE - BÁNH TIRAMISU 150G,Meat,Fix weight,0,1,-1
A117_8936076271957,A117,"=""8936076271957""",SAVOURE - BÁNH ỐC KEM 70G,Meat,Fix weight,0,1,-1
A117_11549,A117,"=""11549""",SẢ XAY 50G,Meat,Fix weight,0,5,-5
A117_11750,A117,"=""11750""",TÁO QUEEN NEW ZEALAND TÚI 950G UP,Meat,Fix weight,0,2,-2
A117_8935117700128,A117,"=""8935117700128""",ÁNH HỒNG - BÁNH FLAN CARAMEL CAO CẤP 2*80G,Meat,Fix weight,0,2,-2
A117_8850329123575,A117,"=""8850329123575""",MEIJI - SỮA THANH TRÙNG HUƠNG DƯA LƯỚI 946ML,Meat,Fix weight,0,2,-2
A117_8934717600784,A117,"=""8934717600784""",CJ CẦU TRE - XÚC XÍCH ỨC GÀ COCKTAIL PHÔ MAI 200G,Meat,Fix weight,0,2,-2
A117_8938529045924,A117,"=""8938529045924""",NGỌC THƠM - GÀ MUỐI 500G,Meat,Fix weight,0,1,-1
A117_8938528582574,A117,"=""8938528582574""",NGỌC TÚ - BÁNH GIÒ THỊT HEO TRỨNG CÚT 160G,Meat,Fix weight,0,4,-4
A117_8936110050494,A117,"=""8936110050494""",SWEETHOME - RAU CÂU FLAN SƠN THUỶ 145G,Meat,Fix weight,0,1,-1
A117_8936076278758,A117,"=""8936076278758""",SAVOURE - BÁNH SU KEM SỮA CÀ PHÊ MUỐI 75G,Meat,Fix weight,0,1,-1
A117_11548,A117,"=""11548""",ỚT XAY 50G,Meat,Fix weight,0,4,-4
A117_11109,A117,"=""11109""",HỖN HỢP BÔNG CẢI SƠ CHẾ 250G,Meat,Fix weight,0,3,-3
A117_8936183060840,A117,"=""8936183060840""",GFU - KHOAI LANG HẤP TAM SẮC 200G,Meat,Fix weight,0,2,-2
A117_8938505512211,A117,"=""8938505512211""",SENTA - KHOAI MÔN GỌT VỎ 400G,Meat,Fix weight,0,2,-2
A117_11567,A117,"=""11567""",RAU MUỐNG BÀO 200G,Meat,Fix weight,0,2,-2
A117_8936146442614,A117,"=""8936146442614""",G - HUYẾT HẤP 400G,Meat,Fix weight,0,2,-2
A117_11541,A117,"=""11541""",HỖN HỢP CANH SOUP 400G,Meat,Fix weight,0,4,-4
A117_8938562884061,A117,"=""8938562884061""",MINH NHẬT - CÀ PHÊ MUỐI 100ML,Meat,Fix weight,0,2,-2
A117_11526,A117,"=""11526""",HỖN HỢP ỚT CHUÔNG VÀ HÀNH TÂY 300G,Meat,Fix weight,0,3,-3
A117_8938541439817,A117,"=""8938541439817""",TÁO TÚI 1.5KG,Meat,Fix weight,0,2,-2
A117_9415262979116,A117,"=""9415262979116""",ANCHOR - KEM SỮA 200ML,Meat,Fix weight,0,2,-2
A117_8934673301077,A117,"=""8934673301077""",VINAMILK - SỮA CHUA UỐNG GREEN FARM HƯƠNG VẢI HOA NHÀI CÓ THẠCH 200ML,Meat,Fix weight,0,2,-2
A117_6954463412006,A117,"=""6954463412006""",PULMUONE - MÌ TƯƠNG ĐEN NGUYÊN BẢN KIỂU HÀN QUỐC 312.3G,Meat,Fix weight,0,2,-2
A117_8938511301212,A117,"=""8938511301212""",THƠM - TÀU HŨ MATCHA 130G,Meat,Fix weight,0,1,-1
A117_11122,A117,"=""11122""",THƠM TRÁI CẮT SẴN 350G,Meat,Fix weight,0,1,-1
A117_8935128710109,A117,"=""8935128710109""",BOTTEGA ZELACHI - PHÔ MAI MOZZARELLA BÀO 200G,Meat,Fix weight,0,2,-2
A117_5711953091940,A117,"=""5711953091940""",ARLA - PHÔ MAI BÀO MOZZARELLA 175G,Meat,Fix weight,0,2,-2
A117_8935217430109,A117,"=""8935217430109""",TH TRUE MILK - BƠ LẠT TỰ NHIÊN VỈ 10X10G,Meat,Fix weight,0,4,-4
A117_8935007147118,A117,"=""8935007147118""",LOTHAMILK - SCU CÓ ĐƯỜNG CHAI 880ML,Meat,Fix weight,0,4,-4
A117_8935058911645,A117,"=""8935058911645""",CP - XÚC XÍCH COCKTAIL XÔNG KHÓI 250G,Meat,Fix weight,0,2,-2
A117_8935019503216,A117,"=""8935019503216""","LEGOURMET - XÚC XÍCH VƯỜN BIA 10CM, 200G",Meat,Fix weight,0,2,-2
A117_8934673608824,A117,"=""8934673608824""",VINAMILK - SCA TRÁI CÂY 100G,Meat,Fix weight,0,12,-12
A117_8936176751007,A117,"=""8936176751007""",TNT - CHÈ BƯỞI 140G,Meat,Fix weight,0,2,-2
A117_11757,A117,"=""11757""",NẤM MỠ TRẮNG 150G,Meat,Fix weight,0,2,-2
A117_SP001576,A117,"=""SP001576""",BBANG HOUSE - BÁNH SU KEM 140G,Meat,Fix weight,0,2,-2
A117_8938532089007,A117,"=""8938532089007""",VĨ LÂM - CẢI SẬY CHUA 500G,Meat,Fix weight,0,6,-6
A117_8934673323512,A117,"=""8934673323512""",VINAMILK - SCU PROBI HƯƠNG DỨA 5*65ML,Meat,Fix weight,0,10,-10
A117_8935217410309,A117,"=""8935217410309""",TH TRUE MILK - SC MEN SỐNG TRÁI CÂY TỰ NHIÊN 100G LỐC 4,Meat,Fix weight,0,20,-20
A117_8935217413003,A117,"=""8935217413003""",TH TRUE MILK - SC CÓ ĐƯỜNG 100G,Meat,Fix weight,0,12,-12
A117_8885020330052,A117,"=""8885020330052""",XÀ LÁCH HỖN HỢP PURE ROCKET 100G (ĐÃ RỬA SẠCH),Meat,Fix weight,0,2,-2
A117_8936204030371,A117,"=""8936204030371""",AN LẠC - HẠT SEN TƯƠI 200G,Meat,Fix weight,0,4,-4
A117_8936176751175,A117,"=""8936176751175""",TNT - CHÈ DỪA NON KIỂU THÁI 140G,Meat,Fix weight,0,1,-1
A117_8938562884054,A117,"=""8938562884054""",MINH NHẬT - CÀ PHÊ SỮA 100ML,Meat,Fix weight,0,2,-2
A117_SP001578,A117,"=""SP001578""",BBANG HOUSE - BÁNH KEM CỐT SOCOLA 120G,Meat,Fix weight,0,1,-1
A117_11540,A117,"=""11540""",HỖN HỢP CƠM CHIÊN DƯƠNG CHÂU 150G,Meat,Fix weight,0,3,-3
A117_8935360200116,A117,"=""8935360200116""",NHO ĐEN MỸ HỘP 450G,Meat,Fix weight,0,1,-1
A117_11727,A117,"=""11727""",QUÝT NỘI ĐỊA TRUNG HỘP 1KG,Meat,Fix weight,0,4,-4
A117_8850329103034,A117,"=""8850329103034""",MEIJI - SỮA THANH TRÙNG VỊ SOCOLA 946ML,Meat,Fix weight,0,2,-2
A117_8935101608102,A117,"=""8935101608102""",JONGGA - KIM CHI CẢI THẢO CẮT LÁT 450G,Meat,Fix weight,0,2,-2
A117_8936199380345,A117,"=""8936199380345""",FAMILY MEALS - BÁNH GIÒ NHÂN THỊT TRỨNG MUỐI 175G,Meat,Fix weight,0,2,-2
A117_8938508547579,A117,"=""8938508547579""",BIBIGO - KIM CHI CẢI THẢO CẮT LÁT 500G,Meat,Fix weight,0,2,-2
A117_8936146446742,A117,"=""8936146446742""",G - GIÒ THỦ 200G,Meat,Fix weight,0,2,-2
A117_3073781110685,A117,"=""3073781110685""",BELCUBE - PHÔ MAI VỊ SỮA GÓI 15 VIÊN - 78G,Meat,Fix weight,0,3,-3
