Key (ST_Code),ST Code / Abbr,Product Code,Product Name,Category,Loai Hang,KFM Qty (SL Chuyen),ABA Qty (SL Giao),Diff (Lech),Loai Chenh Lech
LVT_1101310,LVT,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
VHT_1101310,VHT,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
PHL_1101310,PHL,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
RVS_1101310,RVS,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
CLD_1101310,CLD,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,164,16399999999999999,-16399999999999835,Đã tạo phiếu KFM (Lệch số lượng)
TSO_1101310,TSO,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
A110_1101310,A110,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
A106_1101310,A106,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
DS3_1101310,DS3,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
NTT_1101310,NTT,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
AV4_1101310,AV4,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
THN_1101310,THN,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
PHG_1101310,PHG,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
BTH_1101310,BTH,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
GHA_1101310,GHA,"=""1101310""",NHO XANH MỸ,Meat,Fix weight,82,81999999999999993,-81999999999999911,Đã tạo phiếu KFM (Lệch số lượng)
